Disease Category,Disease,Year,Month,Cases
Sexually Transmitted and Bloodborne,Syphilis,2023,July,184
Sexually Transmitted and Bloodborne,Syphilis,2023,August,172
Sexually Transmitted and Bloodborne,Syphilis,2023,September,163
Sexually Transmitted and Bloodborne,Syphilis,2023,October,145
Sexually Transmitted and Bloodborne,Syphilis,2023,November,165
Sexually Transmitted and Bloodborne,Syphilis,2023,December,105
Direct Contact and Respiratory,Group A Streptococcal disease,2023,January,23
Direct Contact and Respiratory,Group A Streptococcal disease,2023,February,20
Direct Contact and Respiratory,Group A Streptococcal disease,2023,March,33
Direct Contact and Respiratory,Group A Streptococcal disease,2023,April,20
Direct Contact and Respiratory,Group A Streptococcal disease,2023,May,27
Direct Contact and Respiratory,Group A Streptococcal disease,2023,June,27
Direct Contact and Respiratory,Group A Streptococcal disease,2023,July,23
Direct Contact and Respiratory,Group A Streptococcal disease,2023,August,18
Direct Contact and Respiratory,Group A Streptococcal disease,2023,September,12
Direct Contact and Respiratory,Group A Streptococcal disease,2023,October,29
Direct Contact and Respiratory,Group A Streptococcal disease,2023,November,19
Direct Contact and Respiratory,Group A Streptococcal disease,2023,December,40
Direct Contact and Respiratory,Pneumococcal disease,2023,January,22
Direct Contact and Respiratory,Pneumococcal disease,2023,February,23
Direct Contact and Respiratory,Pneumococcal disease,2023,March,20
Direct Contact and Respiratory,Pneumococcal disease,2023,April,14
Direct Contact and Respiratory,Pneumococcal disease,2023,May,23
Direct Contact and Respiratory,Pneumococcal disease,2023,June,12
Direct Contact and Respiratory,Pneumococcal disease,2023,July,19
Direct Contact and Respiratory,Pneumococcal disease,2023,August,15
Direct Contact and Respiratory,Pneumococcal disease,2023,September,16
Direct Contact and Respiratory,Pneumococcal disease,2023,October,18
Direct Contact and Respiratory,Pneumococcal disease,2023,November,29
Direct Contact and Respiratory,Pneumococcal disease,2023,December,42
Direct Contact and Respiratory,Tuberculosis,2023,January,30
Direct Contact and Respiratory,Tuberculosis,2023,February,18
Direct Contact and Respiratory,Tuberculosis,2023,March,33
Direct Contact and Respiratory,Tuberculosis,2023,April,25
Direct Contact and Respiratory,Tuberculosis,2023,May,23
Direct Contact and Respiratory,Tuberculosis,2023,June,36
Direct Contact and Respiratory,Tuberculosis,2023,July,31
Direct Contact and Respiratory,Tuberculosis,2023,August,38
Direct Contact and Respiratory,Tuberculosis,2023,September,30
Direct Contact and Respiratory,Tuberculosis,2023,October,29
Direct Contact and Respiratory,Tuberculosis,2023,November,21
Direct Contact and Respiratory,Tuberculosis,2023,December,27
Sexually Transmitted and Bloodborne,AIDS,2022,January,3
Sexually Transmitted and Bloodborne,AIDS,2022,February,4
Sexually Transmitted and Bloodborne,AIDS,2022,March,1
Sexually Transmitted and Bloodborne,AIDS,2022,April,2
Sexually Transmitted and Bloodborne,AIDS,2022,May,2
Sexually Transmitted and Bloodborne,AIDS,2022,June,4
Sexually Transmitted and Bloodborne,AIDS,2022,July,3
Sexually Transmitted and Bloodborne,AIDS,2022,August,2
Sexually Transmitted and Bloodborne,AIDS,2022,September,2
Sexually Transmitted and Bloodborne,AIDS,2022,October,1
Sexually Transmitted and Bloodborne,AIDS,2022,November,1
Sexually Transmitted and Bloodborne,AIDS,2022,December,1
Sexually Transmitted and Bloodborne,HIV,2022,January,34
Sexually Transmitted and Bloodborne,HIV,2022,February,28
Sexually Transmitted and Bloodborne,HIV,2022,March,36
